country,air_quality,percent_change,death_percent_diff,year_1990,year_2017
Papua New Guinea,1,88.6,84.14425617907663,6433,11846
Philippines,2,214.4,74.9131341209173,43170,75510
Pakistan,2,197.7,20.924920483782746,197444,238759
Poland,4,-14.0,-41.0846280034739,51815,30527
Puerto Rico,1,4.8,-16.73728813559322,472,393
Portugal,1,30.0,-47.338568935427574,4584,2414
Palau,1,-34.5,33.33333333333333,3,4
Paraguay,1,188.8,9.151256519677572,2109,2302
Qatar,4,500.3,172.72727272727272,176,480
Romania,1,-56.6,-46.097622184578704,31878,17183
Russia,1,-25.8,-44.050713060380055,135823,75992
Rwanda,2,110.7,-37.58417508417509,14256,8898
Saudi Arabia,5,284.4,85.80904741191823,9196,17087
Solomon Islands,1,9.8,64.31322207958921,779,1280
Seychelles,1,236.1,20.689655172413794,29,35
Sweden,1,-12.5,-73.25915290739411,2786,745
Singapore,2,74.0,-0.8156606851549755,1226,1216
Slovenia,1,-8.5,-45.38745387453875,1626,888
Slovakia,1,-37.5,-42.78128111516761,6026,3448
Sierra Leone,3,76.7,-4.225063938618926,9775,9362
Senegal,5,304.2,15.889620344485525,11089,12851
Somalia,4,33.4,66.19047619047619,16380,27222
Suriname,1,143.7,13.818181818181818,275,313
El Salvador,4,198.4,-24.156976744186046,3440,2609
Syria,5,-16.2,30.515595162316995,7855,10252
Chad,5,245.1,49.155275148966,14265,21277
Togo,5,271.6,32.858837485172,5058,6720
Thailand,2,200.3,6.254165740946456,36008,38260
Tajikistan,1,-53.5,-0.9408428921252739,7759,7686
Turkmenistan,3,58.8,44.381107491856675,2456,3546
Tunisia,5,115.1,64.25619834710744,4356,7155
Tonga,1,112.5,-15.625,64,54
Turkey,3,186.6,13.131079797746464,38961,44077
Trinidad and Tobago,1,153.4,27.708978328173373,646,825
Taiwan,4,124.9,27.03962703962704,9438,11990
Tanzania,1,599.0,3.774819494584838,44320,45993
Ukraine,1,-73.7,-31.946608341323106,66752,45427
Uganda,1,682.9,16.770263550472404,24132,28179
United States,1,0.4,-44.319671499074644,103744,57765
Uruguay,1,78.0,-38.24209714726292,1297,801
Uzbekistan,1,-22.5,54.93319630010277,19460,30150
Saint Vincent and the Grenadines,1,371.1,-1.5384615384615385,65,64
Venezuela,1,33.5,108.64854590382056,5261,10977
Vietnam,1,983.8,-1.3644366197183098,72704,71712
Vanuatu,1,-30.0,105.12820512820514,195,400
Samoa,1,14.0,16.9811320754717,159,186
Yemen,2,81.5,-2.473847893695222,21222,20697
South Africa,2,49.7,25.641321932054538,25962,32619
Zambia,1,68.1,-8.667074289208193,13084,11950
Zimbabwe,1,-29.6,44.73183294143993,8931,12926
